"","column2","list","date","Year","page","URL","new_name","new_path"
"1","Sowing the Windfallis","sim_newsweek-us_1959-07-06_54_1",1959-07-06,1959,89,"https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up","sim_newsweek-us_1959-07-06_54_1.txt","./AI_extracted_all/sim_newsweek-us_1959-07-06_54_1.txt"
"2","Mr K, Farm Expert","sim_newsweek-us_1959-09-28_54_13",1959-09-28,1959,125,"https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up","sim_newsweek-us_1959-09-28_54_13.txt","./AI_extracted_all/sim_newsweek-us_1959-09-28_54_13.txt"
"3","Lessons for Americans","sim_newsweek-us_1959-10-26_54_17",1959-10-26,1959,133,"https://archive.org/details/sim_newsweek-us_1959-10-26_54_17/page/n133/mode/2up","sim_newsweek-us_1959-10-26_54_17.txt","./AI_extracted_all/sim_newsweek-us_1959-10-26_54_17.txt"
"4","Dilemma of the Left","sim_newsweek-us_1959-11-30_54_22",1959-11-30,1959,113,"https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up","sim_newsweek-us_1959-11-30_54_22.txt","./AI_extracted_all/sim_newsweek-us_1959-11-30_54_22.txt"
"5","A Road Away From Statism","sim_newsweek-us_1953-01-26_41_4",1953-01-26,1953,113,"https://archive.org/details/sim_newsweek-us_1953-01-26_41_4/page/n113/mode/2up","sim_newsweek-us_1953-01-26_41_4.txt","./AI_extracted_all/sim_newsweek-us_1953-01-26_41_4.txt"
"6","High Taxes and Hard Work","sim_newsweek-us_1953-09-28_42_13",1953-09-28,1953,109,"https://archive.org/details/sim_newsweek-us_1953-09-28_42_13/page/n109/mode/2up","sim_newsweek-us_1953-09-28_42_13.txt","./AI_extracted_all/sim_newsweek-us_1953-09-28_42_13.txt"
"7","“Excessive Abuse’","sim_newsweek-us_1953-11-30_42_22",1953-11-30,1953,113,"https://archive.org/details/sim_newsweek-us_1953-11-30_42_22/page/n113/mode/2up","sim_newsweek-us_1953-11-30_42_22.txt","./AI_extracted_all/sim_newsweek-us_1953-11-30_42_22.txt"
"8","A Comptroller Without Control","sim_newsweek-us_1955-01-03_45_1",1955-01-03,1955,65,"https://archive.org/details/sim_newsweek-us_1955-01-03_45_1/page/n65/mode/2up","sim_newsweek-us_1955-01-03_45_1.txt","./AI_extracted_all/sim_newsweek-us_1955-01-03_45_1.txt"
"9","The Needs of Our Schools","sim_newsweek-us_1955-11-28_46_22",1955-11-28,1955,125,"https://archive.org/details/sim_newsweek-us_1955-11-28_46_22/page/n125/mode/2up","sim_newsweek-us_1955-11-28_46_22.txt","./AI_extracted_all/sim_newsweek-us_1955-11-28_46_22.txt"
"10","Common Sense and Taxes","sim_newsweek-us_1957-05-06_49_18",1957-05-06,1957,121,"https://archive.org/details/sim_newsweek-us_1957-05-06_49_18/page/n121/mode/2up","sim_newsweek-us_1957-05-06_49_18.txt","./AI_extracted_all/sim_newsweek-us_1957-05-06_49_18.txt"
"11","Making Lawmakers","sim_newsweek-us_1957-09-16_50_12",1957-09-16,1957,129,"https://archive.org/details/sim_newsweek-us_1957-09-16_50_12/page/n129/mode/2up","sim_newsweek-us_1957-09-16_50_12.txt","./AI_extracted_all/sim_newsweek-us_1957-09-16_50_12.txt"
"12","The Score on Economy","sim_newsweek-us_1957-10-21_50_17",1957-10-21,1957,121,"https://archive.org/details/sim_newsweek-us_1957-10-21_50_17/page/n121/mode/2up","sim_newsweek-us_1957-10-21_50_17.txt","./AI_extracted_all/sim_newsweek-us_1957-10-21_50_17.txt"
