"","X","column2","list","date","Year","page","URL","new_name","new_path","volume","issue"
"1",1,"Sowing the Windfallis","sim_newsweek-us_1959-07-06_54_1",1959-07-06,1959,89,"https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up","sim_newsweek-us_1959-07-06_54_1.txt","./AI_extracted_all/sim_newsweek-us_1959-07-06_54_1.txt",54,"1"
"2",2,"Mr K, Farm Expert","sim_newsweek-us_1959-09-28_54_13",1959-09-28,1959,125,"https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up","sim_newsweek-us_1959-09-28_54_13.txt","./AI_extracted_all/sim_newsweek-us_1959-09-28_54_13.txt",54,"13"
"3",3,"Lessons for Americans","sim_newsweek-us_1959-10-26_54_17",1959-10-26,1959,133,"https://archive.org/details/sim_newsweek-us_1959-10-26_54_17/page/n133/mode/2up","sim_newsweek-us_1959-10-26_54_17.txt","./AI_extracted_all/sim_newsweek-us_1959-10-26_54_17.txt",54,"17"
"4",4,"Dilemma of the Left","sim_newsweek-us_1959-11-30_54_22",1959-11-30,1959,113,"https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up","sim_newsweek-us_1959-11-30_54_22.txt","./AI_extracted_all/sim_newsweek-us_1959-11-30_54_22.txt",54,"22"
"5",5,"A Road Away From Statism","sim_newsweek-us_1953-01-26_41_4",1953-01-26,1953,113,"https://archive.org/details/sim_newsweek-us_1953-01-26_41_4/page/n113/mode/2up","sim_newsweek-us_1953-01-26_41_4.txt","./AI_extracted_all/sim_newsweek-us_1953-01-26_41_4.txt",41,"4"
"6",6,"High Taxes and Hard Work","sim_newsweek-us_1953-09-28_42_13",1953-09-28,1953,109,"https://archive.org/details/sim_newsweek-us_1953-09-28_42_13/page/n109/mode/2up","sim_newsweek-us_1953-09-28_42_13.txt","./AI_extracted_all/sim_newsweek-us_1953-09-28_42_13.txt",42,"13"
"7",7,"“Excessive Abuse’","sim_newsweek-us_1953-11-30_42_22",1953-11-30,1953,113,"https://archive.org/details/sim_newsweek-us_1953-11-30_42_22/page/n113/mode/2up","sim_newsweek-us_1953-11-30_42_22.txt","./AI_extracted_all/sim_newsweek-us_1953-11-30_42_22.txt",42,"22"
"8",8,"A Comptroller Without Control","sim_newsweek-us_1955-01-03_45_1",1955-01-03,1955,65,"https://archive.org/details/sim_newsweek-us_1955-01-03_45_1/page/n65/mode/2up","sim_newsweek-us_1955-01-03_45_1.txt","./AI_extracted_all/sim_newsweek-us_1955-01-03_45_1.txt",45,"1"
"9",9,"The Needs of Our Schools","sim_newsweek-us_1955-11-28_46_22",1955-11-28,1955,125,"https://archive.org/details/sim_newsweek-us_1955-11-28_46_22/page/n125/mode/2up","sim_newsweek-us_1955-11-28_46_22.txt","./AI_extracted_all/sim_newsweek-us_1955-11-28_46_22.txt",46,"22"
"10",10,"Common Sense and Taxes","sim_newsweek-us_1957-05-06_49_18",1957-05-06,1957,121,"https://archive.org/details/sim_newsweek-us_1957-05-06_49_18/page/n121/mode/2up","sim_newsweek-us_1957-05-06_49_18.txt","./AI_extracted_all/sim_newsweek-us_1957-05-06_49_18.txt",49,"18"
"11",11,"Making Lawmakers","sim_newsweek-us_1957-09-16_50_12",1957-09-16,1957,129,"https://archive.org/details/sim_newsweek-us_1957-09-16_50_12/page/n129/mode/2up","sim_newsweek-us_1957-09-16_50_12.txt","./AI_extracted_all/sim_newsweek-us_1957-09-16_50_12.txt",50,"12"
"12",12,"The Score on Economy","sim_newsweek-us_1957-10-21_50_17",1957-10-21,1957,121,"https://archive.org/details/sim_newsweek-us_1957-10-21_50_17/page/n121/mode/2up","sim_newsweek-us_1957-10-21_50_17.txt","./AI_extracted_all/sim_newsweek-us_1957-10-21_50_17.txt",50,"17"
"13",13,"No Time for Committees","sim_newsweek-us_1957-12-09_50_24",1957-12-09,1957,109,"https://archive.org/details/sim_newsweek-us_1957-12-09_50_24/page/n109/mode/2up","sim_newsweek-us_1957-12-09_50_24.txt","./AI_extracted_all/sim_newsweek-us_1957-12-09_50_24.txt",50,"24"
"14",14,"A Stool Needs Three Legs","sim_newsweek-us_1959-01-26_53_4",1959-01-26,1959,109,"https://archive.org/details/sim_newsweek-us_1959-01-26_53_4/page/n109/mode/2up","sim_newsweek-us_1959-01-26_53_4.txt","./AI_extracted_all/sim_newsweek-us_1959-01-26_53_4.txt",53,"4"
"15",15,"The Measure of a Man","sim_newsweek-us_1959-02-23_53_8",1959-02-23,1959,109,"https://archive.org/details/sim_newsweek-us_1959-02-23_53_8/page/n109/mode/2up","sim_newsweek-us_1959-02-23_53_8.txt","./AI_extracted_all/sim_newsweek-us_1959-02-23_53_8.txt",53,"8"
"16",16,"Most Dangerous Rumor","sim_newsweek-us_1959-04-20_53_16",1959-04-20,1959,121,"https://archive.org/details/sim_newsweek-us_1959-04-20_53_16/page/n121/mode/2up","sim_newsweek-us_1959-04-20_53_16.txt","./AI_extracted_all/sim_newsweek-us_1959-04-20_53_16.txt",53,"16"
"17",17,"Sowing the Windfallis","sim_newsweek-us_1959-07-06_54_1",1959-07-06,1959,89,"https://archive.org/details/sim_newsweek-us_1959-07-06_54_1/page/n89/mode/2up","sim_newsweek-us_1959-07-06_54_1.txt","./AI_extracted_all/sim_newsweek-us_1959-07-06_54_1.txt",54,"1"
"18",18,"The Feedback Obsession","sim_newsweek-us_1959-08-31_54_9",1959-08-31,1959,89,"https://archive.org/details/sim_newsweek-us_1959-08-31_54_9/page/n89/mode/2up","sim_newsweek-us_1959-08-31_54_9.txt","./AI_extracted_all/sim_newsweek-us_1959-08-31_54_9.txt",54,"9"
"19",19,"Mr K, Farm Expert","sim_newsweek-us_1959-09-28_54_13",1959-09-28,1959,125,"https://archive.org/details/sim_newsweek-us_1959-09-28_54_13/page/n125/mode/2up","sim_newsweek-us_1959-09-28_54_13.txt","./AI_extracted_all/sim_newsweek-us_1959-09-28_54_13.txt",54,"13"
"20",20,"Dilemma of the Left","sim_newsweek-us_1959-11-30_54_22",1959-11-30,1959,113,"https://archive.org/details/sim_newsweek-us_1959-11-30_54_22/page/n113/mode/2up","sim_newsweek-us_1959-11-30_54_22.txt","./AI_extracted_all/sim_newsweek-us_1959-11-30_54_22.txt",54,"22"
"21",21,"Retrospect and Prospect","sim_newsweek-us_1959-12-14_54_24",1959-12-14,1959,125,"https://archive.org/details/sim_newsweek-us_1959-12-14_54_24/page/n125/mode/2up","sim_newsweek-us_1959-12-14_54_24.txt","./AI_extracted_all/sim_newsweek-us_1959-12-14_54_24.txt",54,"24"
