article_id,newspaper_name,edition,date,page,headline,byline,article
3_1856-09-25_p7_sn83030213_00206530510_1856092501_0599,New-York daily tribune.,01,1856-09-25,p7,"TESTIMONY IN THE CASE or THE


PRIZE FIGHT,

FOJ II TIL ID A q.",,"The inqoeet IN the prize fight was resumed yester-
day before Coroner Perry ut p. m and the following
additional testimony was elected:


John Furrall being sworn, said:


reside at No 60 James street was at the 6sht that 90:
DOnnelar. JOHN DonIeiy Joseph Reynold John W5ean
Moot.omery Charley Kelly Michael Kelly, Harry Gdbbo.,
xs Burns johnny Roach barney Lasty, Phip Cfue, Small
murphy Kes seconds Barney Aaron and Laaery aud
Lynch. seconds Johnny Roach and Kit Barns Harry
Ss' tSS bseis were Jack and Mike Murphy
don't who the bottle ehoder- the who sakod
the ring stout man. but don't know his Bully
Cotton and Jerry Resdon appeared take great interest in
The Coroner said that they had sufficient testimony


tho facts in the ell they wanted was to procure the
James Donnelly, being sworn, said: l live at No.
3 Water street was present at the fight az the Palisades on
JsuSy last: ss .hDd re- ss che st
those meatoued. there were good many many present Sh2m
GrbLon were Judges no money bet on the fight did
70 Cohen at the ssht know sS TIs1o, % Sn. Gs
1.-THE ns the sstemen, made by the preceding witness as
the judse that the fight ia propsr.tion IL ha,
been in preparation some four or FIVE months Understood
ins SaGS @ pDs at Wm.bHrsh ~as not one OF the
parties engaged the boat to take the party TO the hsh
Ssurson when he siried did not help take the body Of
Kelly OF tho boat; DOM know John T. CaPet


The Coroner then concluded the testimony in the
case and addressed the Jury as follows:





CysTIrMHs: The evidence which s adduced at this
trial concerning the death Of Andy Kelly goes to show,
that on 1hursday, O'Clock a. n the 18th OF Septem
Der party of some 200 persons went on board OF the
steamtug &. I. Smith, commandcd ny Edwin brandon on
and that said party proceeded to the Palisades on the
Jersey shore where preconcerted prizehght between
Charles Lynch aud Andy Kelly took place; that alter
some 81 rounds were fought In The hast OF when heiiy
seu underneath Lynch and his head mt
the stakc, Kelly In coming up to time, after squarng
of fell scnsoess that no conveyed Il the foot oi
Thirty fourth street this city, from there to Bellevue
Hospital where nc died at O'CLOCK ?. M. Inc os,,
dence 40 far az given shows that here were present
At the fight Barney Aaron, I.aterty, who were the
seconds OF Kelly; Nit Burns and John Roach, whs
were the seconds Of Lynch; that Jack Montgomery
and Mike Murphy appear to have been actlVe Paruci
majors in the fight; that David OBren, Edward
Rates James Collins John Greene, Pat Cockroach
DcnpslIy, Morissey, Philip Glare, Harvey Gribbon
and offers were present at the revolving scene


Nrsts with YOU TO decide the fact whether mos
brutal prcm, dated prize fight take place in th'
community and the parties engaged IN such hsht
either principals alder, and abcttors, escape
the hand Of justice.


am uncertain whether the ulinate tya, OF those in
cluded IN your verdict will come before the authorities
Of Ncw-Jtrscy or this county If the persons impli
Gated are tried before Cosrt of Sessions they wal
have to congratulate Themselves as 1t Is diii
cult matter in this city to convict person charged witt
any other crime than that Of theft. However, b,
bringing in true verdict in this you will bav,
the consolation OF knowing that You have done YOU
dpty wha,eyec may be the result.


VERDICT OF IuE JURY.


The jury, after consultation of about - minutes
-eadered the following verdict:


That Andy Kelly came to his death by iniune
received ct the hands Of Charles Lynch whie engages
In prize fght the Palisades, New Jersey. sept
lS. iSS. That John Roach, Kit Buns, BarDe.
Aaron, j. Lafferty. Harry Crbbon John Montgomery
Michael Murphy, Jeuy Reardon alias Billy Cotton
Philip Clare and Patrick CoegrOve. weyO Ssder. sN
sbettors at the fight -.f .f''"
50_1856-09-25_p7_sn83030213_00206530510_1856092501_0599,New-York daily tribune.,01,1856-09-25,p7,,,"| nant fever. Two other persons daguerrean aud a
| polctm man. living On the same premses were taken
| sick about the same time. The resideu. physician.
| Dr. Rockwell, was called in 10 examine them and
found the patients suffering under a high grade oi
fever, which he could not positively pronounce TO be


3 ,llCw but would class under the head o. ""Susps-
| cioue"" Both cases terminated fstally after brei
| lness. fourth person also died in the same house
toward the close Of the week with the symptoms OF
| delrum trerGens. The matter has been brought Ia


the boce Of the Health Commissioners, who requested


the City Inspector 10 give the house and precincts
| thorough cleansing. The house and the yard we're


Immediately purified by the usual processes and the
bedding upon which che deceased persons slept, and
| the clothing last worn by them. were burned.


The Inspector has invariably adopted these sanitary
treasures in every building where death has occurred
by yellow fever, and in no instance has the dDeasc
spread into the neghborhood Quite number of fatal
yellow fever cases, our readers are aware, have
been reported in this city, during the Summer, but
every one Of them directly traceabe to commun
cattn with infected shipping, bedding, or goods With
reference to the james street deaths it is said that the
daguerrean, who the second victim visited Staten
Island not long ago and took the portrait OF person
who had died Of yellow fever. II the cases were
really yellow fever this alleged fact might account for
the appearance of the malady in James street. But
whatever the sickness was, the public need feel no
apprehension Of its spreading. No new case has oc-
cured in the house during the present week.


Coroner Perry yesterday received an Anonymous
letter. dated at No State street, stating that Chas.
Lynch, the fugitive principal in the late prize fight,
and Kit Burns one Of the geters-up of the fight,
were secreted Staten Island looking out for op-
potunty to get aboard Of some vessel bound for Eu
rope, and unless prompt measures were taken to ar
rest them, 0 communication would be published in
the newspapers which would reflect upon the Police
authorities. On the reception of this letter officers
were dispatched to Staten Island to search for the
fugitiyes.


AsoTBBR DEATH BY VIoLSscE.-CoroncrC Connery
war called, ""Wednesday afternoon, to No. 81 Baxter
street for the purpose of holding inquest upon the
body Of Catharbe Smith, native Of Ireland 26 years
ofsge, who died the night previous, apparently from
the effects Of injuries received at the hands of Muty
Goulah, alias Gallagher. The deceased had been Of
very dissipated habits, and subject Ia fits Of
0poptxy. Deceased and Murty had roue difficulty
Saturday evening, when mury struck her in the
breast with his fist knocking her down the steps Of
front c. lar or basement She taken up bleeding
from the pose. and went to bed from which she never
Murty has not been arrested. The case will be
aigated at 10 o'clock this morning


DEATH pY VIoLRhoE.--An inquest was held on
Wednesday at the tenement house, No 2Oj East Thlr
tcenth street upon the body of Mrs. Bridget McArdIe
d native Of Ireland 26 years of age The testimony
adduced showed that John McArdle, the husband Of
deceased had been in the habit of beating her violent
""; On one occasion her brohern-aw interfered and
was severely stabbed BY McArde. A few weeks since
the deceased gave birth to child and three days at
erward her brutal husband dragged her out of bed
and otherwise assaulted her, and since that time has
used similar violence. From the medical testimony,
and from that relating to the husbands ll-treatment,
the Jury rendered u verdict of death from Organic
disease Of the heart and that her death hast
ened by excitement and III treatment on the part OF
"" her husband warrant issued for the arrest
of McArdle but thus far he has not been found.


JUNK SHors.-The matter Of the complaint against
Alvin McArdle keeper Of Junk shop at No. liz
East Tweu,y-sxth street. for receiving stolen property
was Investigated yesterday afternoon by Marshal
S,ephens at the Mayors Office. The complaint was
made by John Mathews & Son, manufacturers Of soda
water fountains who aege that copper pipe and other
articles stolen from their premises had been purchased
by McArdle The affidavit sets forth that or about
Wednesday the 18th inst deponent had stolen from
sad place several cos Of lead pipe bocktin ppo and
brass fixtures and portion Of copper pump, to the
value Of about $200 and since that time deponent has
been informed that said property had been stolen by
| sone boys one of whom is named Montgomery and
the other Mccormick a. they seen to have said
| property in their possession by George Bower


Other witnesses testified to seeing the boys above
named with the property. Christina Leopold saw the
toys 20 into the shop with the property. There was


woman in the store who took the pipe from the boys
Shortly after the boys came out and ran away. twas
stat, that the accused kept liquor Oh his premises
which he sod or gave to boys The accused, having
been notified by Officer Lefferts, Inspector of Junk.
sbo,a. was present and said he was innocent OF the
charge. Mr.. Stephens remarked to McArdle that he
| was n bad ci,izen--that some time ego complaint
| wa. made against him and his license was revoked
but Mt the solicitation Of his friends the Mayor gave
him new license The further hearing IN the case
| was adjourned TIL Friday.


TpELAYy pRIzE Fionr.-Jas. Colllrs. jim Don
| nelly and John Farrell were yesterday arrested
charged with being concerned in getting up the as'
! prize fight between Lynch and Kelly. They wer


held to bail to answer the charge.


| REMOVAL oY QuARASTIsE.-Anotser meeting o
the Joint Committee representing staten ls!snd' Ne""


Jerey. Brooklyn. and New-York, appointed to devls'


meaps TO effect the removal Of Quarantine IRON ""


present locality 70 position in the vicinity OF SAND.


Heck, to.k place yesterday at No. IS Wall street


The chair was occupied by Mr.. w. Is. Townsend


Staten Island. On motion, the following gensienei
were cho,en as an Executive Committee:


j. {. Thompson. DR.. w. Poet. Staten Island; Mayo


Hall, Aid. Backhouse, Brcs&lyn; Mayor Manner,"
97_1856-09-25_p7_sn83030213_00206530510_1856092501_0599,New-York daily tribune.,01,1856-09-25,p7,,,"TpELArr pRIzE FIonr.-Jas. CoIlrs. jim Don
nelly and John Farrell were yesterday a'rested
charged with being concerned in getting up the ia''
prize fight between Lynch and Kelly They wen
held to bail to answer the charge."
103_1856-09-25_p7_sn83030213_00206530510_1856092501_0599,New-York daily tribune.,01,1856-09-25,p7,,,"Coroner Perry yesterday received an Anonymous
letter, dated at No State street. stating that Chss.
Lynch, the fugitive principal in the late prize fight
and Kit Burns, one Of the geters-up of the fight,
secreted on Staten Island looking out for op-
portunity to get aboard Of vessel bound for Eu-
rope, and unless prompt measures were taken to
rest them, o communication would be published in
the newspapers which would reflect upon the Police
authorities On the reception of this letter, officers
were dispatched to Staten Island TO search for the
fugitiyes."
9_1856-03-01_p2_sn82014998_00279557955_1856030101_0314,The Placer herald.,01,1856-03-01,p2,"Court of Sessions.

EEEKTARY TERN.",,"People VS.. Daniel Lehr-Convicted of assault
with intent to commit murder, and sentenced to
five years Imprisonment in the Pententiary,
People VS., George W. Apple-C Charge: Assault
with intent to commit murder. Cause continued
on affidavit OF defendant.


People VS.. Theodore Duns and -- SotcrO-
Charge: Burglary-Ver guilty. Sentenced
to three years i'll the Penitentary.


People VS.. JOS Butler Grand Larceny: Gull
ty, and sentenced to two years in States Prison
People VS.. Al Ling. All Chu. John Doe (alias
Robbery: Cause continued by consent Of parties


APPEALED CAUSES.


People vs.. Martin Tigler ct al-MaiciOus Mis-
chief: Appealed from Justices Court. Judgm.a,
reversed and cause rcmandcd for new trial.
People VS.. All IIa and All Hoy Assault: Dis,
missed for non-appcarance of appellants.


People Us. 7. Lynch-Misdcmeanor DISMISSED
for want Of prosecution. at cost Of defendant
People vs.. Peter Pettel-Assault and Battery;
Dismissed for want of prosecution of the appeal,
at cost Of defendant,"
41_1856-03-01_p2_sn82014998_00279557955_1856030101_0314,The Placer herald.,01,1856-03-01,p2,"WAsHINcToN COUNTY, (DEruNcr)

SAILORS RANCHO, Dry Creek,",,"MesS,s. Editors: Is there any law 10y which
a person can get hold Of a man that catches
up horses from off their range and works
them! There is considerable Of it done be-
tween Auburn and Bear river, and the par
ties are well known. Resp'y yours


WooDBERY PAGE.
We know of no remedy except by suit for
damages; but would suppose that in fragrant
case, mild application of the Lynch code
would prove salutary.- Ed,"
28_1856-08-19_p2_sn86058106_00279557335_1856081901_0126,Oroville daily Butte record.,01,1856-08-19,p2,Democratic County Convention.,,"7be Democratic Electors of Butte county are here.
ny requested TO send delegates To County Conyen-
Won to assemble nt ORC VILE, on SATURDAY,
AUGUST I'D for the purpose of cecting eight dele
enPs 10 the Stale Convention, 10 assemble ut Sacri-
neno On the ninth day of September next; and also
iv the purpose OF nominating two Members of Assem-
hly aud Que Assessor for Butte county. The different
pr'cncts arc Jntiled the following representation,
'.C 'asis being delegate for each precinct, one
Tor every 50 votes, and one for Cach fraction OF
nftCcn votes Pr c,nCts in which the number OF del
xyates are not mentioned entilcd 10 represen-
t,tNn in accordan ce with the above basis.


ldwell, Il; Rork island. 3; Mountain House, :;
French Creek - junction VI $. Fork, ;: Pine Knot,
: Musqui,o Greek 9; shy High. :; Union Bar, >;
Fairfield Bar. 4 Pea vine Central House. ?; lloncut
Cuy, >; Wyando,tc 2, Garden Rancho. :; White Rock
J. Lynchburg, 3: High Rock, j OIOyille 3; Enterprise
NO Spring House |; Scott & Nantines Store I:
Island Bar >: ForbesOwn Bingham Bar, 5; orc
lcwI |; Natchez, 3; Evansville, 2; ilaniton, :; rur
ncr5 Ranch, = Meals Rancho, ,; THempson's Flal .;
Nor-is Ravine; 2 Chico. 4 Jennings Rancho, | ::
Couples Rancho ;; Manhntan, l. simmons Store. 2;
Moore Il Ptrry's Store 2 Nelson's Bar. = Messlla
Valley, = Trenchown I; Butte Mills, 2; Brolhertons
store | Forks of Butte, 2; lleillown, =: knnkles
Rnrho, Shis Rancho, 2; Robinson's Mill, y
Nirciuia Mill, Berry Creek Mill, Berry Creek Bar
Martins Rancho, Eoblnson's Hill, Cherokee Ravine.
MDuretown


According To the basi. of representation. Che Dem
ooratlc vote Of last Septomber OrOville - entitled 10
hut delegates. The population having largely IN
CrcnScd within the past year, the Committee nave
TO believe that Oroville is entitled to some II
rlc ~ the entire vote Of the precinct at the late
,pcon, for Justice Of the Peace. was between eight
md nine huadred. The mater is respectfully retel-
red - the Convention.


GEo. II. CRosETTE.


SENECA EVER,


q. W. Hess. }Co Com.


e. f. IoTl ~"
26_1856-04-12_p4_sn93052998_00279557359_1856041201_0064,Butte record.,01,1856-04-12,p4,,,"STATE OF CALIFORNIA. Board OF super


County Of Butte. visors Called ses-
sion, March, 1856.
SEHEREAS, the Legislature of the State
w OF California passed an act entitled An
Act to change and tix the County Seat Of
Butte Comfy approved March 10th, 1856,
authorizing the qualified electors Of Butte
county, and State aforesaid, to meet in their
several precincts within forty days after the
passage Of said act, for the purpose Of holding
an election, then and there to determine, by
vote, the propriety Of removing the county
scat Of Butte 20 some place within said eoun-
ty other than the present location, and requi-
ring the Clerk Of said county to give notice Of
said election at least three weeks before the
day Of election in each newspaper printed in
said county.


And now, in accordance with the said act
made and provided,


It is ordered by the Board of Supervisors in
and for Butte county, that the following pre-
cinc;s, for the purpose Of said election, to Be
held On the 18th day Of April, 100, be, aud
they are hereby established, in and for said
county, and for the purpose Of said election.
Polls will be opened at said precincts. and the
persons herein named viii act as inspectors
AMI judges Of said precincts respectiyely,to vii:


BlDwELL TOWNSHIP.
Bdwell Precinot-R baltimore, inspector,
J Slater, G Lamp, judges.
Virginia Mill--A P Nutter, L Woodhouse
L c Bliss


Berry Greek NIill-A Newcome, Il Fore
man, J Dutton.
Berry Greek Bar ""A Miles, Jonathan
Brown, DR. \ Hoyt.
/ SKY High Houses Ham. inspector.
! Sky High Diggings-Jas Haslam.
Mountain House-Ar Ruggles.
/ Mosquito Creek-
/ French Creek-W S Wallace.


Pea Vine-D Whipple
Martins RQnch-D G Martin.


Union Bari Bendle.
American Bar


Rock Island-A Gilman.


OrHIR TOWNSHIP.
Lynchburg-J Elliot, Chas. Lay.
( Ophir-R Bird K Richie, J Jones.


White Rock-J Coons


Wyandotte-H B Shepherd T F Miller.
/ Honcut City Fox.


Buffalo Ranch-A Reynolds


Robinson's Hill, (Illrs Store)-G W Eliot
W Hill


Central House-A Lowry.
Kents Ranch-McConnel, Bush, Bateman


Wilson's Ranch-W Duncum.


Garden Ranch H Minott.


Cherokee RaYine, Beans Store)-M Bean
VI Covington.
MOUNTAIN SPRING TOWNSHIP.


Stringtown-S Ladd, W Woodmau,
Chaplin


Scott s. Vantine's-W Vantine


Enterprise-R Taylor, D Chase. Higgins


Mooertown--S l. Turner, Verwe, { Cole
man


Mountain Spring House-H C Rogers.
Ono TOWNSHIP
Murphy's Ravine--IIooper.
0ro Lewa-J Worden.
Hansonville-J II Hanson.
Natches--Lumbert.
Eyansvile-T benson
Robinsons Mll-A B Gallinger.


Forbestown-L P Smith, Sharp. J B Nc
Gee
Bingham's Bar
Mller's Ranch-Alonzo Swain
HAMILTON TOWNSHIP
Hamlltou-Robert Davis
/ Reynolds'-E Reynolds.
/ Turner's Ranch-Geo. Campbell.
Forkner's Ilouse--A 3 Forkner, VI Rich
ards, + Conrad.


Meals Rancho Wheeler


CHIco TOWNSHIP.


Chico--IIeury Chaney.


jennings Raneh-Jas Journey, - Sargent
/ II U Jennings


Couples Ranch-J Couples, J Orr, J Y
Perkins.


Manhattan-St John, W Reynold, - sher
man.
/ Barbour's Rancho Barbour, "" San
bourne, NJ McMurtry.


BENTON TOWNSHIP.


Silrs Ranch-W ? Mayhem
/ Oak Grove.


OREGON TOWNSHIP.


Simmons Stole-G r Fitzgerald, B Nor
rison, I Lyon,


More & Perry's Store-Samuel Glass,
/ X C Pulum, II More.


Nelson's Bar-O Sewers,


Mesilla Valley, (Pence & Bonds) &C
I Durham,
/ Frenchtown-J Stewart
/ EUREKA TOWNSHIP.


French's Store-Levi Smith, - Merrick.
| Morris Ravine-W Carey.
/ Spark House E VI Sparks, C L Skinner.
hIaIsHEw TOWNSHIP.


Butte Mills-E kinson.
/ Brothert0n's Store G. Longmore.
/ Forks of Butte L Boyd
/ Helltown-J Nichols.
/ kuukles Ranch-Irwin, J S Nance, D Be
quette."
6_1856-04-12_p3_sn93052998_00279557359_1856041201_0063,Butte record.,01,1856-04-12,p3,"NOTICES

sEEa-rFs SALE.",,"By virtue Of IN Execution issned out Of tn,
District Court, Ninth Judicial District. in anl
for Butte County, and State Of California. tc
me directed and delivered, commaniinr me +.
make he SUN of three th0us md aud twenty.
one sixty two one hundredths dallars. a;ib
interest thereon frem this date. at the rate d,
ten per cent per anaum til paid. AMI he sun
Of sevenfy-5even iifty one hGndredths dollars.
costs of salt. and accruinr costs Of il,i. vx,.st
wherein John Hart IS p!aintif and palal
DlIe- IS uciencaaf. Therefore Ia pursuar-e-
Of said wri;, have seized ana levied upon I'm
Of the right. title, and interest Of the defend
aRts IN sal. writ in ard TO the following de-
serlbed property; to-wt, viz: All that certain
piece or parcel Of land situated in Ophir town
ship, Batte county, located in the Second RAJ
vine from the mouth of the South Fork Of Dry
Creek, Claimed for mining purposes, commen-
eng one hundred and Gfy tl50) feet above a
"" Nmte Oak Tree marked with the letter 5. and
running down from said tree seven hundred
and htty tl5Dl feet to 4 corresponding mark.


Also all that certain piece or parcel Of land
claimed for mining purposes, situated On Cher
okee Ray;ae, Ophir township. back of the
store Of P. Bean. containing four claims OF
about ore hundred feet each;


Also all that certain piece or parcel Of land
claimed ior mining purposes, situated on
CAeroAee kaFlue, IL OpnIr tOwn-hip, contain
ing four claims OF about one hundred feet each
contiguous 70 the Feather River and Ophir
Water Ditch, near Beams store;


Also all that certain piece or parcel Of land
claimed for mining purposes, situated at
Thompson's Flat, Eureka township, Butte
county, consisting Of eight mining claims.
eight hundred feet. located in a southerly d.
rectioE one thousand feet from said Th0mp-
sons Flat, and contiguous to the fame Of tie
Water Ditch known as Morris Ravine and
Thompson's Flats Water Ditch;


Also all that certain piece or parcel Of land
claimed for mining purposes, situated in the
s'uf Of the Hill back Of Oroyi!le. directly in
the rear Of the Orleans Hotel, and bounded
on the south by the claim Of Joseph Snyder.
coutaining fifty feet front, and running back
one hundred feet more or less:


Also in and 10 a certain Water Ditch and
water commencing st or near a DIGGER Pine
free, biazed. on the -outh branch OF the Md
ole Fork OF Dry Creek 0phir township, Butte
County, aut near Ivuchburg. running thence
TO the mining claim known as Summers &
Co, being about one mile IN length, which /
will expose TO public sale q; the Western IIo-
tel, in Lynchburg. Opiir township Butte
county. aad State OF California On the 7th
day Of May, 4 d. 1856. at 10 o'clock, j. "". ,
to the highest bidder Tor cash


? FREER,


Sheriff Bate County


B.dwell, April l., 1856."
40_1856-11-22_p2_sn93052998_00279557359_1856112201_0193,Butte record.,01,1856-11-22,p2,,,"STRIKE.-Ne notice posters stuck up
around town calling a meeting of the min
ers, for the purpose of taking steps to Sc
cure reduction in the price of water, at
present sold at fifty cents ner inch. The
Meeting is called for Monday, and is to be
held Immediately opposite the Water Office,
between 0roville aud Lynchburg. As this
come to our knowledge, we do not regard
the feeling as being generally prevalent
amongst our mining population."
