"","headline","article_nmbr","text","linenumber"
"1","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"STARTOFARTICLE",1
"2","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.",2
"3","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Publication info: Los Angeles Times ; Los Angeles, Calif. [Los Angeles, Calif]07 Jan 2005: C.1.",3
"4","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"https://search.proquest.com/docview/421960129?accountid=41449",4
"5","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Abstract: Unocal's Asian assets are attractive to international oil companies, which could prompt a bidding fight if CNOOC emerges with an offer, said Jason Putman, an analyst at Victory Capital Management, which owns more than 6 million Unocal shares. Another reason that bidders might surface now is Unocal's settlement last month of human-rights lawsuits related to its partial ownership of a $1.2-billion natural gas pipeline in Myanmar. The case posed a potential liability to a would-be buyer if Unocal had lost. Unocal fought off its last major takeover attempt 20 years ago, when it foiled a bid by corporate raider T. Boone Pickens Jr. But the episode saddled Unocal with billions of dollars in additional debt, and it wasn't until the mid-1990s that Unocal fully recovered - - in good part by expanding into Asia.",5
"6","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Full text: A Chinese oil company reportedly is considering a $13-billion takeover offer for El Segundo-based Unocal Corp., which traces it roots to the early days of California's petroleum industry.",6
"7","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"If it comes to pass, the deal would be China's largest acquisition of an American company. Unocal's stock jumped nearly 8% on the report, its biggest daily gain in nearly six years.",7
"8","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"CNOOC Ltd., an arm of China's state-owned China National Offshore Oil Corp., is mainly interested in Unocal's exploration and production in Asia, the Financial Times reported on its website Thursday.",8
"9","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Unocal spokesman Barry Lane declined to comment. Xiao Zongwei, a spokesman for CNOOC, China's third-largest oil company, also refused to comment.",9
"10","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Unocal's Asian assets are attractive to international oil companies, which could prompt a bidding fight if CNOOC emerges with an offer, said Jason Putman, an analyst at Victory Capital Management, which owns more than 6 million Unocal shares.",10
"11","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"""I think Unocal has a lot of potential buyers,"" he said. ""That's one of the reasons we like Unocal.""",11
"12","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Another reason that bidders might surface now is Unocal's settlement last month of human-rights lawsuits related to its partial ownership of a $1.2-billion natural gas pipeline in Myanmar. The case posed a potential liability to a would-be buyer if Unocal had lost.",12
"13","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"However, at least one analyst, Bruce Lanni of A.G. Edwards & Sons Inc., was skeptical.",13
"14","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"In a note to clients, Lanni said he was visiting Unocal Chief Executive Charles Williamson and other top executives when the reports surfaced. Although ""they did not comment,"" Lanni wrote, ""it appeared to us that there was little validity to the speculation.""",14
"15","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Formerly called Union Oil Co. of California, Unocal was founded in 1890 in Santa Paula in Ventura County. It has oil and natural gas projects in such countries as Indonesia, Thailand and Bangladesh, and operates in the Gulf of Mexico and in such U.S. regions as Texas' Permian Basin.",15
"16","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"With 6,600 employees, Unocal once owned the Union 76 gasoline brand but sold it in 1997 to focus on exploration and production.",16
"17","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Like other oil companies, Unocal saw its earnings and revenue shoot up last year as crude oil prices hit record highs. Unocal's revenue in 2003 was $6.5 billion, but its 2004 revenue -- which hasn't yet been reported -- is expected to show an increase of at least $1 billion. Industry leader Exxon Mobil Corp. had 2003 revenue of $247 billion.",17
"18","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"A buyout offer from a Chinese company wouldn't be surprising because the nation's booming economy, bulging trade surplus and growing energy demands are prompting China to look overseas for energy assets and other properties, analysts said.",18
"19","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Last month, for instance, China's biggest computer maker, Lenovo Group Ltd., acquired IBM Corp.'s personal computer business for $1.25 billion. That was one of China's biggest foreign acquisitions ever, and analysts said that more deals were sure to follow.",19
"20","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Takeover rumors about Unocal are nothing new. The company has fought off three previous hostile bids in its 115-year history.",20
"21","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"""Unocal has been a prospective takeover candidate for the past several years,"" said Aliza Fan, senior analyst at John S. Herold Inc., an industry consulting firm.",21
"22","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"That's mainly because Unocal is a relatively small, independent player whose stock has lagged behind the industry for an extended period of time, Fan said.",22
"23","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"The Asian projects that could appeal to a buyer ""will not come to fruition for many years,"" she said. ""So investors have been unwilling to give credit to Unocal for some of its long-term potential in Asia.""",23
"24","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Whether CNOOC or another suitor would be more patient and make a formal offer for Unocal, or at least for its Asian assets, remains to be seen. CNOOC's interest is at an early stage and no talks have been held, unnamed sources told the Financial Times.",24
"25","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Reuters News Service quoted anonymous sources as saying CNOOC was eyeing several foreign oil companies.",25
"26","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Unocal fought off its last major takeover attempt 20 years ago, when it foiled a bid by corporate raider T. Boone Pickens Jr. But the episode saddled Unocal with billions of dollars in additional debt, and it wasn't until the mid-1990s that Unocal fully recovered - - in good part by expanding into Asia.",26
"27","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"On Thursday, Unocal's stock climbed $3.15, or 7.7%, to $44.34 on the New York Stock Exchange. That gave Unocal a total market value of $11.7 billion.",27
"28","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"CNOOC's New York-traded shares rose 54 cents to $51.85.",28
"29","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Times staff writer Ching-Ching Ni in Beijing contributed to this report.",29
"30","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Classification: 8510: Petroleum industry; 9510: Multinational corporations; 2330: Acquisitions & mergers; 9190: United States; 9179: Asia & the Pacific",30
"31","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",31
"32","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Pages: C.1",32
"33","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Publication date: Jan 7, 2005",33
"34","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Publication subject: General Interest Periodicals--United States",34
"35","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"ISSN: 04583035",35
"36","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Language of publication: English",36
"37","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"ProQuest document ID: 421960129",37
"38","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Document URL: https://search.proquest.com/docview/421960129?accountid=41449",38
"39","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Copyright: (Copyright (c) 2005 Los Angeles Times)",39
"40","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Last updated: 2017-11-14",40
"41","Title: Chinese Firm Is Said to Be Eyeing Unocal; If a deal goes through, it would be the Asian country's largest acquisition of a U.S. company.:   [HOME EDITION ]",1,"Database: ProQuest Central",41
"42","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"STARTOFARTICLE",42
"43","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.",43
"44","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Publication info: Los Angeles Times ; Los Angeles, Calif. [Los Angeles, Calif]25 June 2005: C.1.",44
"45","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"https://search.proquest.com/docview/422028211?accountid=41449",45
"46","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Abstract: In an interview before this week's CNOOC announcement, Karen Harbert, a senior U.S. Energy Department official, said China's rising energy consumption and its quest for energy resources abroad did not pose a ""threat to U.S. interests or a threat to U.S. companies"" because oil was a ""fungible global commodity"" whose price cannot be set by one country. The job of sorting through these thorny issues is likely to go to the Committee on Foreign Investment in the United States, an interagency group that vets foreign purchases of sensitive U.S. assets. Free-market supporters contend that it would be discriminatory for the U.S. to deny CNOOC access to the U.S. energy market when foreign firms, including BP and Royal Dutch/Shell, have been major players for decades.",46
"47","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Full text: This week's bid by a leading Chinese oil company for Unocal Corp. is forcing U.S. policymakers to confront two sensitive issues: America's dependence on imported oil and its future relations with China, a rising economic and military power.",47
"48","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"CNOOC Ltd.'s unsolicited $18.5-billion bid for El Segundo-based Unocal has sparked a vigorous debate among policymakers and analysts about American access to energy supplies in an increasingly interdependent global economy.",48
"49","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"On Friday, 41 members of Congress from both parties sent a letter to Treasury Secretary John W. Snow, who heads the interagency Committee on Foreign Investment in the United States, urging him to immediately initiate a thorough review of a possible deal.",49
"50","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Among their concerns was whether CNOOC was using Chinese government funds to make the purchase and whether China would be acquiring sensitive technology.",50
"51","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Some observers, including a senior Energy Department official, contend that it doesn't really matter who controls the wells as long as oil is traded globally. But others say it is dangerous for more oil supplies to fall into the hands of potentially hostile governments amid growing competition for scarce resources and instability in oil-rich regions such as the Middle East and Latin America.",51
"52","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"The bid also is sparking debate about whether China, one of the few remaining communist governments, should be treated as an ally or a rival. That's a sensitive question, in part because American firms want access to China's huge market and the United States needs Beijing's support for resolving thorny disputes in places such as North Korea. And some contend that China has already made great strides toward developing a market economy, and that a friendly approach would encourage it to do even more.",52
"53","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"But others say Beijing doesn't play fair in trade, steals American technology and thus can't be trusted.",53
"54","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Although Chinese firms have made other pushes into the U.S. market, including a recent bid by Haier Group for Maytag Corp., the CNOOC deal would dwarf all other purchases and raise the stakes dramatically.",54
"55","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Opinions are divided on whether a CNOOC deal -- if accepted by Unocal over a rival $17-billion bid by Chevron Corp. -- would get the green light from the U.S. government given the highly charged atmosphere in Congress over China. There are more than a dozen bills pending that would penalize the Asian nation for alleged trade abuses. Concerns about China's expanding military expenditures are also on the rise.",55
"56","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"""The red flag associated with [China] is just growing and growing and growing, and it's not just [in] the Congress,"" said David Bachman, a China scholar at the University of Washington.",56
"57","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"The controversy places the Bush administration, which has close ties to the global oil industry and has pushed for open energy markets around the world, in an awkward position. Any action against Chinese companies in the United States could trigger retaliation against U.S. firms.",57
"58","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Although U.S. officials have steered clear of commenting on the deal, the administration has said it supports global competition in energy and welcomes new investment that could expand fuel supplies. The administration has generally resisted calls for tougher sanctions on China -- except in the case of textiles -- arguing that diplomacy is a better way to open China's markets and encourage financial reforms.",58
"59","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"In an interview before this week's CNOOC announcement, Karen Harbert, a senior U.S. Energy Department official, said China's rising energy consumption and its quest for energy resources abroad did not pose a ""threat to U.S. interests or a threat to U.S. companies"" because oil was a ""fungible global commodity"" whose price cannot be set by one country.",59
"60","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"Harbert said the Bush administration was concerned that investments by China or other countries into energy resources be made in a ""fair and transparent"" manner.",60
"61","Title: Chinese Bid for Unocal Stirs Up Issues; American policymakers are facing questions about communism, global commerce and the dependence of the U.S. on foreign oil.:   [HOME EDITION ]",2,"""We don't dictate to China where it can invest, and they don't dictate to us where we can invest,"" said Harbert, the assistant secretary of energy for policy and international affairs.",61
