call_date2,n
2019-08-15,232
2018-04-19,221
2016-04-18,218
2018-03-28,217
2018-05-08,217
2017-04-19,215
2016-05-04,211
2018-05-02,210
2018-02-02,207
2016-05-18,204
2018-05-10,203
2018-04-10,202
2018-05-03,201
2018-01-16,199
2018-01-31,198
2017-08-16,197
2018-02-06,196
2017-09-12,195
2018-01-02,195
2017-09-26,194
2019-09-11,194
2018-02-07,193
2016-09-06,192
2019-04-24,192
2016-06-08,191
2018-04-30,191
2017-09-20,190
2019-11-06,190
2016-09-15,189
2016-10-04,189
2017-04-05,189
2017-05-03,189
2018-04-11,189
2016-09-27,188
2016-10-05,188
2017-11-09,188
2018-01-26,188
2018-02-08,188
2016-04-25,187
2017-09-19,187
2017-12-06,187
2016-04-19,186
2016-05-24,186
2017-05-30,186
2017-08-22,186
2017-09-27,186
2018-01-04,186
2018-02-28,186
2018-05-07,186
2016-04-11,184
2016-08-10,184
2016-09-13,184
2016-10-18,184
2016-12-21,184
2017-01-17,184
2017-03-15,184
2018-02-01,184
2018-04-23,184
2016-05-17,183
2016-06-02,182
2016-08-01,182
2017-09-13,182
2018-03-27,182
2019-07-10,182
2016-06-07,181
2017-09-15,181
2018-03-06,181
2017-03-16,180
2017-05-01,180
2018-03-08,179
2018-04-12,179
2017-11-07,178
2018-01-12,178
2018-05-01,178
2018-05-09,178
2017-08-15,177
2017-10-25,177
2018-03-30,177
2018-04-03,177
2016-06-06,176
2016-07-06,176
2017-09-14,176
2018-01-17,176
2019-10-02,176
2017-08-29,175
2017-09-07,175
2018-01-30,175
2018-04-26,175
2019-03-28,175
2019-08-22,175
2016-06-09,174
2017-10-23,174
2018-03-15,174
2019-09-04,174
2016-04-26,173
2017-08-10,173
2017-09-21,173
2017-10-04,173
2018-02-09,173
2018-03-23,173
2018-04-04,173
2018-05-11,173
2017-10-05,172
2018-03-09,172
2018-04-05,172
2018-04-09,172
2016-04-04,171
2016-04-20,171
2017-04-18,171
2017-05-02,171
2017-05-24,171
2017-08-24,171
2018-01-25,171
2018-02-05,171
2018-02-13,171
2019-08-01,171
2016-04-05,170
2016-04-06,170
2016-05-10,170
2016-09-07,170
2016-09-26,170
2016-12-05,170
2017-03-07,170
2017-10-02,170
2016-05-19,169
2016-09-29,169
2016-10-17,169
2017-03-10,169
2017-09-22,169
2017-10-03,169
2017-11-08,169
2016-05-02,168
2016-07-07,168
2016-10-11,168
2017-04-12,168
2017-08-31,168
2017-12-05,168
2017-12-13,168
2017-12-14,168
2017-12-18,168
2018-05-04,168
2019-10-16,168
2016-09-01,167
2016-12-12,167
2017-01-12,167
2017-08-21,167
2017-09-29,167
2018-02-15,167
2019-06-05,167
2016-04-27,166
2016-10-03,166
2017-04-11,166
2017-09-06,166
2018-01-24,166
2018-04-17,166
2018-04-25,166
2016-04-13,165
2016-05-23,165
2016-12-06,165
2017-03-29,165
2017-05-15,165
2017-08-04,165
2017-09-18,165
2017-11-01,165
2017-11-06,165
2018-03-21,165
2016-05-03,164
2016-11-16,164
2016-12-01,164
2016-06-28,163
2016-08-04,163
2016-08-29,163
2017-03-14,163
2017-07-25,163
2017-09-28,163
2017-11-29,163
2019-10-23,163
2016-05-05,162
2016-08-17,162
2016-09-16,162
2016-11-03,162
2017-09-05,162
2017-10-16,162
2017-11-20,162
2018-04-13,162
2019-07-03,162
2016-07-26,161
2016-09-19,161
2016-12-20,161
2017-06-05,161
2017-07-19,161
2017-08-30,161
2018-02-04,161
2019-06-12,161
2016-04-12,160
2016-05-20,160
2016-10-26,160
2017-05-09,160
2017-07-12,160
2017-12-11,160
2018-02-16,160
2018-04-16,160
2016-05-25,159
2016-08-24,159
2016-10-19,159
2017-03-08,159
2017-05-10,159
2017-07-18,159
2017-08-01,159
2017-10-24,159
2017-12-07,159
2018-03-14,159
2016-04-21,158
2016-07-11,158
2016-07-14,158
2016-07-19,158
2016-09-14,158
2016-09-20,158
2017-01-04,158
2017-01-05,158
2017-07-26,158
2017-09-11,158
2017-11-30,158
2018-03-29,158
2016-05-09,157
2016-06-15,157
2016-11-11,157
2017-09-08,157
2017-12-09,157
2018-05-06,157
2019-09-18,157
2016-06-27,156
2016-07-27,156
2017-03-03,156
2017-03-31,156
2017-04-04,156
2017-08-17,156
2017-10-27,156
2017-12-28,156
2018-02-17,156
2018-03-07,156
2018-04-24,156
2016-05-12,155
2016-05-31,155
2016-06-10,155
2016-06-13,155
2016-06-24,155
2017-08-02,155
2018-01-11,155
2018-03-10,155
2018-03-20,155
2018-04-29,155
2016-05-11,154
2016-06-29,154
2017-03-01,154
2017-06-07,154
2017-08-18,154
2017-10-06,154
2017-10-11,154
2018-02-20,154
2018-04-18,154
2019-03-21,154
2019-04-10,154
2019-06-19,154
2019-08-08,154
2019-08-09,154
2019-09-27,154
2016-10-13,153
2016-11-01,153
2017-03-21,153
2017-03-22,153
2017-06-01,153
2017-12-20,153
2018-01-15,153
2018-03-12,153
2018-05-05,153
2019-04-15,153
2019-07-24,153
2016-08-03,152
2016-08-11,152
2016-10-27,152
2016-11-08,152
2017-01-24,152
2017-05-16,152
2017-06-06,152
2018-02-14,152
2018-03-05,152
2019-03-27,152
2019-08-14,152
2019-08-29,152
2017-06-15,151
2017-07-24,151
2017-07-28,151
2017-08-07,151
2017-10-10,151
2017-11-28,151
2017-12-04,151
2018-01-03,151
2018-01-05,151
2018-03-22,151
2018-04-20,151
2018-04-27,151
2019-07-01,151
2019-09-03,151
2019-09-05,151
2019-10-18,151
2016-04-14,150
2016-05-16,150
2016-06-03,150
2016-06-14,150
2016-10-25,150
2016-11-09,150
2016-11-30,150
2016-12-13,150
2017-04-25,150
2017-04-26,150
2017-07-11,150
2019-04-04,150
2019-09-02,150
2019-10-09,150
2016-09-17,149
2016-09-28,149
2016-10-06,149
2016-11-15,149
2017-03-09,149
2017-07-17,149
2017-08-25,149
2017-10-30,149
2018-01-29,149
2016-04-03,148
2016-06-01,148
2016-07-05,148
2016-08-26,148
2016-09-08,148
2016-10-31,148
2016-11-21,148
2017-03-13,148
2017-05-31,148
2017-07-27,148
2017-08-23,148
2017-09-23,148
2017-10-18,148
2016-04-22,147
2016-07-21,147
2016-08-02,147
2016-08-30,147
2016-09-12,147
2016-10-20,147
2017-01-06,147
2017-03-30,147
2017-04-07,147
2017-07-06,147
2017-07-10,147
2017-09-04,147
2017-12-29,147
2018-01-13,147
2018-01-22,147
2018-03-31,147
2016-04-28,146
2016-06-16,146
2016-06-17,146
2016-06-21,146
2016-10-24,146
2016-12-22,146
2016-12-28,146
2017-02-13,146
2017-05-11,146
2017-10-20,146
2017-11-17,146
2018-01-20,146
2018-02-10,146
2018-02-21,146
2018-02-22,146
2018-03-26,146
2019-10-17,146
2016-04-15,145
2016-05-26,145
2017-02-21,145
2017-04-03,145
2017-04-24,145
2017-05-23,145
2017-05-26,145
2017-10-19,145
2018-02-27,145
2018-03-24,145
2019-03-07,145
2016-06-23,144
2016-08-19,144
2017-04-20,144
2017-10-09,144
2017-10-17,144
2018-04-28,144
2016-05-08,143
2016-05-13,143
2016-06-30,143
2016-07-18,143
2016-10-12,143
2017-02-23,143
2017-05-19,143
2017-06-02,143
2017-11-02,143
2017-12-10,143
2018-03-16,143
2018-04-02,143
2019-09-19,143
2019-09-25,143
2016-04-08,142
2016-08-18,142
2016-11-23,142
2017-03-02,142
2017-03-06,142
2017-03-23,142
2017-04-17,142
2017-06-19,142
2017-10-01,142
2018-03-01,142
2019-07-30,142
2019-08-21,142
2016-06-20,141
2016-08-23,141
2016-09-09,141
2016-12-09,141
2017-03-17,141
2017-04-13,141
2018-01-18,141
2018-01-23,141
2018-02-23,141
2019-05-02,141
2016-07-13,140
2016-10-07,140
2017-01-26,140
2017-02-02,140
2017-02-15,140
2017-03-27,140
2017-04-06,140
2017-11-03,140
2017-11-11,140
2018-01-19,140
2018-03-02,140
2019-06-28,140
2016-04-23,139
2016-07-20,139
2016-08-12,139
2016-09-23,139
2016-11-17,139
2017-01-19,139
2017-02-08,139
2017-03-28,139
2017-04-14,139
2017-05-08,139
2017-07-07,139
2017-10-26,139
2017-11-27,139
2017-12-08,139
2018-03-18,139
2018-04-14,139
2019-08-23,139
2016-09-21,138
2016-11-02,138
2017-07-16,138
2018-02-12,138
2019-05-01,138
2019-06-06,138
2019-10-24,138
2016-06-05,137
2016-08-09,137
2017-02-22,137
2017-06-28,137
2017-06-29,137
2017-09-25,137
2017-10-13,137
2017-11-14,137
2018-03-13,137
2018-03-19,137
2019-07-25,137
2019-08-02,137
2019-10-03,137
2019-10-08,137
2019-10-11,137
2017-04-21,136
2017-09-30,136
2017-10-07,136
2019-05-29,136
2019-06-04,136
2019-08-28,136
2019-10-30,136
2019-11-11,136
2016-08-22,135
2016-11-13,135
2016-12-29,135
2017-05-12,135
2017-06-23,135
2017-08-14,135
2018-02-03,135
2018-02-26,135
2019-05-19,135
2019-09-06,135
2016-05-06,134
2017-01-13,134
2017-04-01,134
2017-06-08,134
2017-07-05,134
2017-07-31,134
2017-08-03,134
2017-08-08,134
2017-08-28,134
2017-11-21,134
2017-12-27,134
2018-01-10,134
2018-02-19,134
2018-05-12,134
2019-04-22,134
2019-07-09,134
2016-06-22,133
2016-07-08,133
2016-08-15,133
2016-08-16,133
2016-08-31,133
2016-09-30,133
2017-05-18,133
2017-07-21,133
2017-11-15,133
2017-12-22,133
2018-01-06,133
2019-03-29,133
2019-04-07,133
2019-05-27,133
2019-11-07,133
2016-05-15,132
2016-09-22,132
2016-12-07,132
2017-01-18,132
2017-01-31,132
2017-02-01,132
2017-02-16,132
2017-04-27,132
2017-07-20,132
2017-09-17,132
2017-12-12,132
2017-12-21,132
2019-08-20,132
2016-07-28,131
2016-09-02,131
2016-10-10,131
2016-11-04,131
2016-11-14,131
2017-01-11,131
2017-01-30,131
2017-02-10,131
2017-02-28,131
2017-06-12,131
2017-09-16,131
2019-05-28,131
2019-08-12,131
2019-10-15,131
2019-11-01,131
2016-04-01,130
2016-04-29,130
2016-05-07,130
2016-07-12,130
2016-07-25,130
2016-11-05,130
2016-12-27,130
2017-06-20,130
2018-01-09,130
2018-03-03,130
2018-04-07,130
2018-10-31,130
2019-04-30,130
2019-05-09,130
2016-12-02,129
2017-01-09,129
2017-10-14,129
2016-05-27,128
2016-11-22,128
2017-03-19,128
2017-06-04,128
2017-08-11,128
2018-02-18,128
2018-10-30,128
2019-05-30,128
2019-08-06,128
2016-11-29,127
2017-01-03,127
2017-02-07,127
2017-05-17,127
2017-08-09,127
2019-02-21,127
2019-03-06,127
2019-03-14,127
2019-05-12,127
2019-07-11,127
2019-11-15,127
2016-06-25,126
2016-11-10,126
2017-03-25,126
2017-10-31,126
2017-12-15,126
2018-04-06,126
2016-06-04,125
2016-07-22,125
2016-08-25,125
2016-12-08,125
2017-01-25,125
2017-05-04,125
2017-05-05,125
2017-06-11,125
2017-06-16,125
2017-06-30,125
2017-09-09,125
2019-07-28,125
2019-09-12,125
2019-11-13,125
2016-07-01,124
2016-08-05,124
2017-04-02,124
2017-05-22,124
2017-05-25,124
2017-12-19,124
2017-12-26,124
2018-03-04,124
2019-09-09,124
2019-10-14,124
2016-11-28,123
2017-03-26,123
2017-04-15,123
2017-05-27,123
2017-05-28,123
2017-09-01,123
2017-10-08,123
2019-08-19,123
2019-08-25,123
2019-10-04,123
2016-05-28,122
2016-11-07,122
2017-07-23,122
2017-11-22,122
2019-07-17,122
2019-09-10,122
2016-04-16,121
2016-06-12,121
2016-07-17,121
2016-09-03,121
2016-10-28,121
2016-12-04,121
2017-07-14,121
2017-09-10,121
2017-09-24,121
2017-11-25,121
2018-04-15,121
2019-04-09,121
2019-08-07,121
2016-05-01,120
2016-10-14,120
2017-02-04,120
2017-03-12,120
2017-05-29,120
2017-07-04,120
2017-07-13,120
2017-10-15,120
2017-11-18,120
2017-11-24,120
2019-05-17,120
2019-08-27,120
2019-11-22,120
2016-04-02,119
2016-05-22,119
2016-05-29,119
2016-08-08,119
2016-09-11,119
2016-10-30,119
2017-01-27,119
2017-02-25,119
2017-06-14,119
2017-07-03,119
2017-11-13,119
2017-12-16,119
2018-04-01,119
2018-05-13,119
2019-01-02,119
2019-04-29,119
2019-09-07,119
2019-11-03,119
2019-11-08,119
2016-07-30,118
2017-02-03,118
2017-02-24,118
2017-04-09,118
2017-06-17,118
2017-11-10,118
2018-01-14,118
2019-05-05,118
2019-06-20,118
2019-09-21,118
2016-12-15,117
2017-02-06,117
2017-06-10,117
2017-11-19,117
2017-12-01,117
2017-12-02,117
2018-11-07,117
2019-03-15,117
2019-06-10,117
2019-06-25,117
2019-07-26,117
2016-12-14,116
2017-02-09,116
2017-03-24,116
2017-05-14,116
2017-06-03,116
2017-06-09,116
2017-06-21,116
2017-06-26,116
2018-01-08,116
2018-03-11,116
2019-08-10,116
2019-10-10,116
2019-10-25,116
2016-06-18,115
2016-08-06,115
2016-10-08,115
2016-10-21,115
2016-11-18,115
2016-12-16,115
2017-02-14,115
2017-02-27,115
2017-03-04,115
2017-04-23,115
2017-07-22,115
2017-07-30,115
2017-08-06,115
2017-11-05,115
2017-11-16,115
2018-04-21,115
2019-08-26,115
2016-07-29,114
2016-10-01,114
2016-11-06,114
2017-04-08,114
2017-12-17,114
2019-02-12,114
2019-07-12,114
2016-05-14,113
2016-07-15,113
2016-08-28,113
2017-01-02,113
2017-01-22,113
2017-06-13,113
2017-06-27,113
2017-07-15,113
2018-01-07,113
2019-04-25,113
2019-04-28,113
2019-05-13,113
2019-09-26,113
2016-04-10,112
2016-05-30,112
2016-12-30,112
2017-02-12,112
2017-03-20,112
2018-01-28,112
2019-03-08,112
2019-06-14,112
2019-07-16,112
2019-11-27,112
2016-08-13,111
2016-10-16,111
2016-11-12,111
2017-07-01,111
2017-08-19,111
2017-11-12,111
2019-07-29,111
2019-07-31,111
2016-07-02,110
2016-11-25,110
2017-07-09,110
2017-11-04,110
2018-02-25,110
2018-12-12,110
2019-04-18,110
2019-08-13,110
2016-07-23,109
2017-01-23,109
2017-09-03,109
2018-01-27,109
2018-10-29,109
2018-12-19,109
2019-07-13,109
2019-11-16,109
2016-04-24,108
2016-09-10,108
2016-12-11,108
2017-01-07,108
2017-01-16,108
2017-03-11,108
2017-05-20,108
2017-08-27,108
2019-04-17,108
2019-08-24,108
2019-11-21,108
2016-06-11,107
2016-08-27,107
2017-03-18,107
2017-08-13,107
2017-10-21,107
2017-12-03,107
2019-04-05,107
2019-04-14,107
2019-05-08,107
2019-06-02,107
2019-07-18,107
2019-09-24,107
2019-10-07,107
2016-10-29,106
2017-02-18,106
2017-07-08,106
2017-12-30,106
2018-11-05,106
2018-11-06,106
2019-01-21,106
2019-07-08,106
2016-04-07,105
2016-12-19,105
2017-02-17,105
2017-10-12,105
2018-02-24,105
2018-03-25,105
2019-02-19,105
2019-03-13,105
2019-10-05,105
2019-11-14,105
2016-07-03,104
2016-07-16,104
2016-08-14,104
2016-08-20,104
2017-01-15,104
2017-01-20,104
2017-04-28,104
2017-10-28,104
2018-11-08,104
2019-04-16,104
2019-05-15,104
2019-07-22,104
2019-09-08,104
2019-11-04,104
2016-06-19,103
2016-09-25,103
2016-10-09,103
2017-01-21,103
2017-04-29,103
2017-05-06,103
2018-01-01,103
2019-09-13,103
2016-04-30,102
2016-09-05,102
2016-09-18,102
2017-02-19,102
2017-07-29,102
2018-05-14,102
2019-02-28,102
2019-07-23,102
2019-10-29,102
2016-06-26,101
2016-12-17,101
2017-02-26,101
2017-03-05,101
2017-06-22,101
2017-08-05,101
2018-09-19,101
2018-10-10,101
2019-05-31,101
2016-05-21,100
2016-12-03,100
2017-01-29,100
2017-08-26,100
2018-02-11,100
2018-09-17,100
2018-11-14,100
2019-05-23,100
2019-06-07,100
2019-06-13,100
2019-06-22,100
2019-06-24,100
2019-07-04,100
2017-02-05,99
2017-12-23,99
2018-04-08,99
2018-10-17,99
2019-02-20,99
2019-04-26,99
2019-06-16,99
2016-10-23,98
2016-11-27,98
2017-01-10,98
2018-03-17,98
2018-09-18,98
2018-10-22,98
2018-10-24,98
2019-05-20,98
2016-07-31,97
2016-10-15,97
2016-12-26,97
2016-12-31,97
2017-01-14,97
2017-04-22,97
2017-04-30,97
2017-05-21,97
2018-04-22,97
2018-12-04,97
2019-01-03,97
2019-01-31,97
2019-02-27,97
2019-07-07,97
2019-09-01,97
2019-11-20,97
2016-04-17,96
2017-01-28,96
2017-02-20,96
2017-04-16,96
2017-05-13,96
2018-01-21,96
2018-05-15,96
2018-12-18,96
2019-01-30,96
2019-03-16,96
2019-05-10,96
2019-07-06,96
2019-07-14,96
2016-04-09,95
2016-09-24,95
2018-10-25,95
2019-01-23,95
2019-07-27,95
2016-10-02,94
2017-10-22,94
2019-02-22,94
2019-07-05,94
2019-08-16,94
2019-10-28,94
2016-08-21,93
2016-10-22,93
2016-11-20,93
2017-11-26,93
2018-08-09,93
2018-09-11,93
2018-12-17,93
2019-01-01,93
2019-04-27,93
2019-05-06,93
2019-05-22,93
2019-10-22,93
2019-11-12,93
2016-08-07,92
2017-07-02,92
2018-06-12,92
2018-10-09,92
2019-03-26,92
2019-04-20,92
2019-07-02,92
2019-08-18,92
2017-04-10,91
2017-09-02,91
2018-07-23,91
2019-01-25,91
2019-03-11,91
2019-08-30,91
2019-09-20,91
2016-07-24,90
2016-12-23,90
2017-08-12,90
2018-11-03,90
2018-11-28,90
2018-12-06,90
2019-04-08,90
2019-05-24,90
2017-06-24,89
2019-01-16,89
2019-02-06,89
2019-04-03,89
2019-06-18,89
