index,date,title,publication,title2
1,2024-07-18,AI For All Phases of Disaster Management,    Targeted News Service           Targeted News Service,ai for all phases of disaster management
3,2024-04-08,"NATIONAL GUARD EMPLOYS AI TO BATTLE WILDFIRES, IMPROVE DISASTER RESPONSE",    States News Service States News Service,"national guard employs ai to battle wildfires, improve disaster response"
4,NA,INTERNATIONAL PATENT: REPUBLIC OF KOREA(NATIONAL DISASTER MANAGEMENT,NA,international patent: republic of korea(national disaster management
5,NA,OPERATION HOPE BECOMES THE FIRST FINANCIAL LITERACY NONPROFIT TO EMBED,NA,operation hope becomes the first financial literacy nonprofit to embed
6,NA,NSF and philanthropic partners invest more than $18M to prioritize ethical and societal,NA,nsf and philanthropic partners invest more than $18m to prioritize ethical and societal
7,2024-08-16,USPTO ISSUES TRADEMARK:,     US Fed News,uspto issues trademark:
9,NA,NSF AND PHILANTHROPIC PARTNERS INVEST MORE THAN $18M TO PRIORITIZE,NA,nsf and philanthropic partners invest more than $18m to prioritize
10,NA,CEC Research Optimizes Autonomous Drone Swarms With AI for Potential Disaster,NA,cec research optimizes autonomous drone swarms with ai for potential disaster
11,2024-05-08,CU BOULDER PIONEERS CULTURALLY SENSITIVE AI SOLUTIONS FOR DISASTERS,     States News Service States News Service,cu boulder pioneers culturally sensitive ai solutions for disasters
12,NA,ERNST EXPOSES SBA'S LACK OF IT SECURITY AS THE AGENCY PURSUES AI,NA,ernst exposes sba's lack of it security as the agency pursues ai
13,2024-05-29,Ernst Exposes SBA's Lack of IT Security as the Agency Pursues AI Technology,     Targeted News Service           Targeted News Service,ernst exposes sba's lack of it security as the agency pursues ai technology
14,NA,"CHANGING THE MAP: NEW AI TECHNOLOGY, GEOSPATIAL MAPPING CERTIFICATES",NA,"changing the map: new ai technology, geospatial mapping certificates"
15,NA,DHS Launches First-of-its-Kind Initiative to Hire 50 Artificial Intelligence Experts in,NA,dhs launches first-of-its-kind initiative to hire 50 artificial intelligence experts in
16,NA,Augmented Intelligence for Disaster Response: Beeline Kazakhstan Mobilises AI to,NA,augmented intelligence for disaster response: beeline kazakhstan mobilises ai to
17,NA,House Science Committee Passes Bills to Advance Research and Technology,NA,house science committee passes bills to advance research and technology
19,NA,DHS LAUNCHES FIRST-OF-ITS-KIND INITIATIVE TO HIRE 50 ARTIFICIAL INTELLIGENCE,NA,dhs launches first-of-its-kind initiative to hire 50 artificial intelligence
21,NA,"UAE 's First SAR Satellite Enters Space as Bayanat AI, Al Yah Satellite Boost Earth",NA,"uae 's first sar satellite enters space as bayanat ai, al yah satellite boost earth"
22,NA,"Pano AI Achieves ISO/IEC 27001:2022 Certification, Elevating Its Commitment to",NA,"pano ai achieves iso/iec 27001:2022 certification, elevating its commitment to"
23,2024-06-14,OHIO STATE PRESIDENT DISCUSSES AI IN HIGHER ED AT STATEHOUSE SUMMIT,    States News Service States News Service,ohio state president discusses ai in higher ed at statehouse summit
24,NA,"AI Ethics Council Welcomes LinkedIn Co-Founder Reid Hoffman and Commentator,",NA,"ai ethics council welcomes linkedin co-founder reid hoffman and commentator,"
25,NA,"Clarifai Assessed ""Awardable"" for Department of Defense Work in the CDAO's",NA,"clarifai assessed ""awardable"" for department of defense work in the cdao's"
26,NA,California Potentially Faces Worst Fire Season Ever: AX’s FireScout AI SaaS,NA,california potentially faces worst fire season ever: ax’s firescout ai saas
27,NA,JACOBS' DREAM: IMPROVING DISASTER RISK MANAGEMENT USING VISUAL CLUES IN,NA,jacobs' dream: improving disaster risk management using visual clues in
28,2024-08-07,"Nfina Technologies Releases the 4508T-AI, a High-Precision AI Computing Workstation",    PR Newswire,"nfina technologies releases the 4508t-ai, a high-precision ai computing workstation"
29,NA,"Fake Hurricane Helene images go viral, experts discuss the problem and how to",NA,"fake hurricane helene images go viral, experts discuss the problem and how to"
30,NA,"FAKE HURRICANE HELENE IMAGES GO VIRAL, EXPERTS DISCUSS THE PROBLEM AND",NA,"fake hurricane helene images go viral, experts discuss the problem and"
31,2024-09-18,Microsoft: Another Important Step in Advancing Responsible AI to Serve The World,    Targeted News Service           Targeted News Service,microsoft: another important step in advancing responsible ai to serve the world
32,2024-09-20,Three Mile Island is reopening and selling its power to Microsoft,"    CNN Wire        By Jordan Valinsky, CNN",three mile island is reopening and selling its power to microsoft
33,2024-09-18,UNITED IN SCIENCE: REBOOT CLIMATE ACTION,    States News Service States News Service,united in science: reboot climate action
34,NA,"Latin America Embraces Satellite Data and Artificial Intelligence for Law Enforcement,",NA,"latin america embraces satellite data and artificial intelligence for law enforcement,"
35,2024-09-10,INDIA TO HOST WORLD CONFERENCE ON PRIORITIES FOR TECHNOLOGY STANDARDS,    States News Service States News Service,india to host world conference on priorities for technology standards
36,NA,"DISASTER READINESS, QUALITY, BEHAVIORAL HEALTH LEAD FALL EDUCATIONAL",NA,"disaster readiness, quality, behavioral health lead fall educational"
37,NA,"Department of Homeland Security Unveils Artificial Intelligence Roadmap, Announces",NA,"department of homeland security unveils artificial intelligence roadmap, announces"
38,NA,Rising Demand Drives Enterprise Data Storage Market to USD 670.82 Billion by 2032|,NA,rising demand drives enterprise data storage market to usd 670.82 billion by 2032|
39,2024-08-29,USPTO ISSUES TRADEMARK: CARE.AI SMART,    US Fed News,uspto issues trademark: care.ai smart
40,NA,Joint Economic Committee Issues Testimony From R Street Institute Senior Fellow,NA,joint economic committee issues testimony from r street institute senior fellow
41,2024-01-10,"EDDY HIGHLIGHTS AI, ANALYTICS, EMERGENCY MANAGEMENT",    US Fed News,"eddy highlights ai, analytics, emergency management"
