docname,Newspaper,Date,Beginning of Passage,keyword,End of Passage,Code,Comments
8153_0_8,The Waco evening news,1893-09-21,. He was found by the,mob,,NA,NA
8153_0_11,The Waco evening news,1893-09-21,"content , the infurated",mob,carried,NA,NA
8153_1_23,The Waco evening news,1893-09-21,an inquest the,mob,"seized the body ,",NA,NA
8153_1_33,The Waco evening news,1893-09-21,people . At one time the,mob,,NA,NA
8155_0_59,The Hope pioneer,1893-08-04,by a,mob,"at Calera Va . , for assault on",NA,NA
8155_2_71,The Hope pioneer,1893-08-04,a,mob,"at Gaston , S . C . They",NA,NA
8155_3_73,The Hope pioneer,1893-08-04,A,MOB,"lynched Handy Kaigler , the",NA,NA
8165_0_81,Martinsburg herald,1891-04-04,the whole story . A,mob,of two hundred and,NA,NA
8166_0_91,The Grenada sentinel,1893-09-30,secured by the,mob,", hanged , shot and",NA,NA
8169_0_99,The evening world,1891-04-28,gang of toughs Early this morning a,mob,,NA,NA
8173_0_119,Omaha daily bee,1891-10-10,Infuriated,Mob,This Morning .,NA,NA
8173_0_199,Omaha daily bee,1891-10-10,negro must hang at the hands of a,mob,.,NA,NA
8173_0_203,Omaha daily bee,1891-10-10,,mob,and lead it . At 8 : 30 a crowd collected,NA,NA
8173_0_257,Omaha daily bee,1891-10-10,and urged the,mob,on . Morearty started the,NA,NA
8173_0_287,Omaha daily bee,1891-10-10,out . The leader backed down and the,mob,,NA,NA
8173_0_293,Omaha daily bee,1891-10-10,by the,mob,", who crawled through the",NA,NA
8173_0_298,Omaha daily bee,1891-10-10,endeavored to dissuade the,mob,from any,NA,NA
8173_0_356,Omaha daily bee,1891-10-10,"filled with a howling , surging",mob,. It was a,NA,NA
8173_0_357,Omaha daily bee,1891-10-10,good - natured,mob,", however , but it was determined",NA,NA
8173_0_413,Omaha daily bee,1891-10-10,back and joined the,mob,on the lawn .,NA,NA
8173_0_446,Omaha daily bee,1891-10-10,of the,mob,called to the crowd to give them,NA,NA
